,movieId,title,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,rating
0,1,Toy Story (1995),0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.921239561324077
1,2,Jumanji (1995),0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.2119768016904193
2,3,Grumpier Old Men (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.1510404397330194
3,4,Waiting to Exhale (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.8613933236574747
4,5,Father of the Bride Part II (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.064591727653976
5,6,Heat (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.8349303318130468
6,7,Sabrina (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.3664840675873777
7,8,Tom and Huck (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.142049469964664
8,9,Sudden Death (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0049242424242424
9,10,GoldenEye (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.430029305292191
10,11,"American President, The (1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.667712806959586
11,12,Dracula: Dead and Loving It (1995),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.6197659297789335
12,13,Balto (1995),0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.272416153319644
13,14,Nixon (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.432082364662903
14,15,Cutthroat Island (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.7219931271477664
15,16,Casino (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7874554444061173
16,17,Sense and Sensibility (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.9685730875308463
17,18,Four Rooms (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3736305977320775
18,19,Ace Ventura: When Nature Calls (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6074123603018435
19,20,Money Train (1995),0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2.8807541625857005
20,21,Get Shorty (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.581688505556477
21,22,Copycat (1995),0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,3.319399677679291
22,23,Assassins (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1482352941176472
23,24,Powder (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.199849454271735
24,25,Leaving Las Vegas (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.689509581032803
25,26,Othello (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.628856624319419
26,27,Now and Then (1995),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.413520097442144
27,28,Persuasion (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.057545973367152
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,3.952230046948357
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.633879781420765
30,31,Dangerous Minds (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.250344462109168
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3.8980546909737663
32,33,Wings of Courage (1995),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3.0076923076923077
33,34,Babe (1995),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6430940939389242
34,35,Carrington (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.5016744809109177
35,36,Dead Man Walking (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9427170935652844
36,37,Across the Sea of Time (1995),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0176470588235293
37,38,It Takes Two (1995),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857789855072464
38,39,Clueless (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.413632208425383
39,40,"Cry, the Beloved Country (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.646726862302483
40,41,Richard III (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.8521006611217743
41,42,Dead Presidents (1995),0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0551276854479124
42,43,Restoration (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4684561128526648
43,44,Mortal Kombat (1995),0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.653874918201365
44,45,To Die For (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.3843613567670436
45,46,How to Make an American Quilt (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.2748829953198126
46,47,Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.053492566302111
47,48,Pocahontas (1995),0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2.9461137513414073
48,49,When Night Is Falling (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.5847457627118646
49,50,"Usual Suspects, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4.334372207803259
50,51,Guardian Angel (1994),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.5555555555555554
51,52,Mighty Aphrodite (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.541148068669528
52,53,Lamerica (1994),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6966666666666668
53,54,"Big Green, The (1995)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8546025104602513
54,55,Georgia (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.241214057507987
55,56,Kids of the Round Table (1995),0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8714285714285714
56,57,Home for the Holidays (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.324518245182452
57,58,"Postman, The (Postino, Il) (1994)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.978396397956533
58,59,"Confessional, The (Confessionnal, Le) (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.56020942408377
59,60,"Indian in the Cupboard, The (1995)",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.114446380484714
60,61,Eye for an Eye (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.3231039017974573
61,62,Mr. Holland's Opus (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7318249832309993
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06662382176521
63,64,Two if by Sea (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.829817833173538
64,65,Bio-Dome (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3942228618421053
65,66,Lawnmower Man 2: Beyond Cyberspace (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.144242935470266
66,67,Two Bits (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.35
67,68,French Twist (Gazon maudit) (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.4369951534733443
68,69,Friday (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.560634328358209
69,70,From Dusk Till Dawn (1996),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.2774543738200124
70,71,Fair Game (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3552123552123554
71,72,Kicking and Screaming (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.502439024390244
72,73,"Misérables, Les (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.8067681895093064
73,74,Bed of Roses (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.3022196926579395
74,75,Big Bully (1996),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.4623655913978495
75,76,Screamers (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0090236686390535
76,77,Nico Icon (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.429864253393665
77,78,"Crossing Guard, The (1995)",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3.180668841761827
78,79,"Juror, The (1996)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.1285456187895213
79,80,"White Balloon, The (Badkonake sefid) (1995)",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7243478260869565
80,81,Things to Do in Denver When You're Dead (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3.267373013399813
81,82,Antonia's Line (Antonia) (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.004925137903862
82,83,Once Upon a Time... When We Were Colored (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.653198653198653
83,84,Last Summer in the Hamptons (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4177215189873418
84,85,Angels and Insects (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.531134856300663
85,86,White Squall (1996),0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.483402971216342
86,87,Dunston Checks In (1996),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3596311475409837
87,88,Black Sheep (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1076274671052633
88,89,Nick of Time (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.139821373575608
89,90,"Journey of August King, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.357476635514019
90,92,Mary Reilly (1996),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.8541033434650456
91,93,Vampire in Brooklyn (1995),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.528738555442523
92,94,Beautiful Girls (1996),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.526923076923077
93,95,Broken Arrow (1996),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0946435034382915
94,96,In the Bleak Midwinter (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6873706004140785
95,97,"Hate (Haine, La) (1995)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9964340295466125
96,98,Shopping (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4876543209876543
97,99,Heidi Fleiss: Hollywood Madam (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.105371900826446
98,100,City Hall (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.22138517618469
99,101,Bottle Rocket (1996),0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.786295951605398
