V1,movieId,title,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,rating,Cluster
0,1,Toy Story (1995),0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.92123956132408,10
1,2,Jumanji (1995),0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.21197680169042,10
2,3,Grumpier Old Men (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.15104043973302,1
3,4,Waiting to Exhale (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.86139332365747,1
4,5,Father of the Bride Part II (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06459172765398,1
5,6,Heat (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.83493033181305,3
6,7,Sabrina (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.36648406758738,1
7,8,Tom and Huck (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14204946996466,10
8,9,Sudden Death (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00492424242424,3
9,10,GoldenEye (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.43002930529219,3
10,11,"American President, The (1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.66771280695959,1
11,12,Dracula: Dead and Loving It (1995),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.61976592977893,1
12,13,Balto (1995),0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27241615331964,10
13,14,Nixon (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4320823646629,3
14,15,Cutthroat Island (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.72199312714777,3
15,16,Casino (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.78745544440612,3
16,17,Sense and Sensibility (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.96857308753085,3
17,18,Four Rooms (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37363059773208,1
18,19,Ace Ventura: When Nature Calls (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60741236030184,1
19,20,Money Train (1995),0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2.8807541625857,3
20,21,Get Shorty (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.58168850555648,1
21,22,Copycat (1995),0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,3.31939967767929,5
22,23,Assassins (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.14823529411765,3
23,24,Powder (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.19984945427174,7
24,25,Leaving Las Vegas (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.6895095810328,3
25,26,Othello (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.62885662431942,3
26,27,Now and Then (1995),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.41352009744214,10
27,28,Persuasion (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.05754597336715,3
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,3.95223004694836,4
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.63387978142077,3
30,31,Dangerous Minds (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.25034446210917,3
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3.89805469097377,5
32,33,Wings of Courage (1995),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3.00769230769231,3
33,34,Babe (1995),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.64309409393892,10
34,35,Carrington (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.50167448091092,3
35,36,Dead Man Walking (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.94271709356529,3
36,37,Across the Sea of Time (1995),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.01764705882353,6
37,38,It Takes Two (1995),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85778985507246,10
38,39,Clueless (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.41363220842538,1
39,40,"Cry, the Beloved Country (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.64672686230248,3
40,41,Richard III (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.85210066112177,9
41,42,Dead Presidents (1995),0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.05512768544791,3
42,43,Restoration (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.46845611285267,3
